Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Daily_Return,Volatility_30d
2023-11-06 05:00:00+00:00,45.2583272965,45.9079459759,44.8725530618,45.7240524292,400733000,0.0,0.0,,
2023-11-07 05:00:00+00:00,45.6920716905,46.1907744987,45.1314013154,45.9279327393,343165000,0.0,0.0,0.004458929147098001,
2023-11-08 05:00:00+00:00,46.0728461677,46.839396519,45.9409239445,46.5465698242,346719000,0.0,0.0,0.013469735039274733,
2023-11-09 05:00:00+00:00,47.439034097,48.2015850672,46.7224574596,46.9223403931,540496000,0.0,0.0,0.008073002378461647,
2023-11-10 05:00:00+00:00,47.4720227248,48.4434503434,47.2551514823,48.3065299988,421245000,0.0,0.0,0.029499585785869087,
2023-11-13 05:00:00+00:00,48.2915356693,49.0870682004,48.0706651835,48.5913581848,384136000,0.0,0.0,0.005896266736755251,
2023-11-14 05:00:00+00:00,49.6507388841,49.8046475074,49.0111164528,49.626750946,416954000,0.0,0.0,0.021308166716852206,
2023-11-15 05:00:00+00:00,49.9055874948,49.9305704812,48.1716088749,48.8592033386,475497000,0.0,0.0,-0.015466408595541381,
2023-11-16 05:00:00+00:00,48.6503321177,49.4958345503,48.3015386318,49.4508590698,339756000,0.0,0.0,0.012109401929862873,
2023-11-17 05:00:00+00:00,49.4948314999,49.6877186271,48.9781376909,49.2689666748,325205000,0.0,0.0,-0.0036782454020316546,
2023-11-20 05:00:00+00:00,49.282952863,50.5182248538,49.1520295106,50.3793067932,414120000,0.0,0.0,0.022536298066261562,
2023-11-21 05:00:00+00:00,50.0964694722,50.4872379693,49.1930027032,49.9145774841,565747000,0.0,0.0,-0.00922460705955419,
2023-11-22 05:00:00+00:00,49.8226340188,50.3053473852,47.6619050631,48.6873016357,899420000,0.0,0.0,-0.024587523530394284,
2023-11-24 05:00:00+00:00,48.4414514189,48.8921859844,47.716876171,47.7478599548,294645000,0.0,0.0,-0.01929541480711594,
2023-11-27 05:00:00+00:00,47.7718401266,48.5014096241,47.6239285033,48.2135810852,395662000,0.0,0.0,0.009753759243678495,
