Date,AAPL,AAPL_log_returns
2000-01-03,3.470226,
2000-01-04,3.17765,-0.08807779162997682
2000-01-05,3.224152,0.014528040044067818
2000-01-06,2.945139,-0.09051395530351534
2000-01-07,3.084645,0.04628056317090886
2000-01-10,3.030393,-0.017744263721531848
2000-01-11,2.875386,-0.052505387974176664
2000-01-12,2.70294,-0.06184685661702266
2000-01-13,2.999391,0.10406919857114837
2000-01-14,3.113708,0.03740503088364911
2000-01-18,3.222214,0.034254401978391094
2000-01-19,3.303592,0.024941660427953673
2000-01-20,3.518665,0.06307129495777411
2000-01-21,3.450849,-0.01946136858322729
2000-01-24,3.293904,-0.04654680029260111
2000-01-25,3.479914,0.054934093404581844
2000-01-26,3.415973,-0.018545208923520223
2000-01-27,3.41016,-0.001703160898029799
2000-01-28,3.150523,-0.07919074021396387
2000-01-31,3.216401,0.020694561796583504
2000-02-01,3.107896,-0.03431706268633945
2000-02-02,3.063332,-0.014442757468394221
2000-02-03,3.202839,0.04453439154378634
2000-02-04,3.348157,0.04437244120815164
2000-02-07,3.536104,0.05461551091196879
2000-02-08,3.561293,0.007098125061575002
2000-02-09,3.491539,-0.019781067943343677
2000-02-10,3.518665,0.007739043082772495
2000-02-11,3.371409,-0.04275089843393328
2000-02-14,3.590356,0.06292060405447697
2000-02-15,3.689174,0.02715122282706421
2000-02-16,3.538042,-0.041829117975441026
2000-02-17,3.561293,0.006550214388404326
2000-02-18,3.448912,-0.0320648621818856
2000-02-22,3.528353,0.022772370841276004
2000-02-23,3.60392,0.021190952112902717
2000-02-24,3.571465,-0.009046266180585637
2000-02-25,3.421786,-0.04281323877470229
2000-02-28,3.510915,0.025714050280185
2000-02-29,3.553542,0.012068165281666486
2000-03-01,4.039878,0.12826964094927026
2000-03-02,3.782178,-0.06591445932359621
2000-03-03,3.968187,0.04800928115462128
2000-03-06,3.896495,-0.01823188423053156
2000-03-07,3.809304,-0.02263093581203121
2000-03-08,3.782178,-0.007146461112058493
2000-03-09,3.789928,0.002046987378714327
2000-03-10,3.898431,0.028227142943436857
2000-03-13,3.760865,-0.035925180360727296
2000-03-14,3.541917,-0.05998087813768259
2000-03-15,3.60392,0.017354035944021247
2000-03-16,3.768615,0.044685418014799104
2000-03-17,3.875183,0.02788532754040607
2000-03-20,3.81318,-0.016129400811761476
2000-03-21,4.183258,0.09262688209451336
2000-03-22,4.470023,0.06630318524669976
2000-03-23,4.380893,-0.02014096914017989
2000-03-24,4.299515,-0.018750359245436936
2000-03-27,4.326641,0.006289264746355661
2000-03-28,4.313079,-0.003139456171989391
2000-03-29,4.214261,-0.023177784348374145
2000-03-30,3.898431,-0.07790008537064322
2000-03-31,4.210384,0.07697969044036614
2000-04-03,4.132881,-0.018579112465697226
2000-04-04,3.946874,-0.04605086927882828
2000-04-05,4.041815,0.023769975321215796
2000-04-06,3.880994,-0.04060254212062512
2000-04-07,4.084443,0.05109406011366434
2000-04-10,3.875183,-0.052592479009279255
2000-04-11,3.702736,-0.045520881652462306
2000-04-12,3.386909,-0.08915429980380521
2000-04-13,3.528353,0.0409134837881596
2000-04-14,3.468288,-0.01717008937560002
